ID,Gender,Experience Level,Time Spent,OS,ISP,Age,Rating
3,Female,medium,,iOS,Xfinity,,0
27,Male,medium,71.97,Android,Cox,50,0
30,Female,medium,101.81,,Cox,49,1
40,Female,medium,86.37,Android,Xfinity,53,0
52,Female,medium,103.97,iOS,Xfinity,58,0
94,Male,,,Android,Cox,44,1
109,Female,medium,102.56,iOS,Cox,64,0
122,,,74.4,Android,Cox,64,0
126,Male,medium,86.03,iOS,Xfinity,67,0
143,Female,medium,99.63,iOS,Xfinity,63,0
145,,medium,96.79,iOS,Xfinity,,0
156,,medium,108.83,iOS,HughesNet,,0
172,Female,medium,94.45,,Cox,59,0
181,,medium,,Android,Xfinity,70,0
200,Female,,,iOS,,59,0
239,Male,medium,,Android,Cox,46,0
243,Male,medium,83.44,Android,Cox,,0
259,Female,,90.84,iOS,Xfinity,54,0
271,Male,,82.72,,Cox,45,0
275,Female,,,iOS,Xfinity,44,0
279,,low,118.51,iOS,Cox,68,0
285,,medium,,iOS,Cox,63,0
289,Female,,94.4,,AT&T,45,0
291,Female,medium,112.95,iOS,Cox,67,0
293,,,101.26,iOS,Xfinity,71,0
295,Male,medium,62.43,Android,Xfinity,49,0
297,Female,medium,,,Xfinity,74,0
316,Female,medium,,iOS,Cox,63,0
330,Female,medium,,iOS,Xfinity,49,0
341,Female,,88.87,iOS,Cox,68,0
344,Female,medium,,iOS,Xfinity,,0
396,Female,,92.77,iOS,Cox,,0
427,,medium,,,Cox,60,0
440,,medium,103.42,iOS,Xfinity,,1
444,Female,,100.94,iOS,Cox,42,0
448,,medium,71.98,Android,,73,0
457,,medium,87.45,iOS,Xfinity,62,0
463,Male,medium,75.37,Android,Cox,65,0
464,Female,medium,89.67,iOS,Cox,60,0
471,,medium,95.6,iOS,Cox,54,1
481,,medium,,Android,AT&T,48,0
488,Female,medium,95.3,iOS,Xfinity,70,0
498,Female,medium,99.61,iOS,Cox,,0
500,Female,,89.61,,Cox,46,0
504,Male,medium,66.42,Android,Cox,,1
511,Female,medium,,,,72,0
517,,medium,106.61,iOS,Xfinity,55,0
529,,medium,97,iOS,Xfinity,56,0
532,Female,medium,90.33,iOS,Xfinity,64,0
541,Female,medium,95.95,,Cox,,0
564,Male,medium,81.83,Android,Xfinity,53,0
572,Female,medium,96.25,iOS,Xfinity,65,0
580,Female,medium,93.56,,,51,0
595,Female,,93.29,iOS,,59,0
612,Female,,101.98,iOS,AT&T,49,0
613,Female,,91.59,iOS,Xfinity,,0
622,Female,medium,93.44,,Xfinity,51,0
635,Male,medium,87.52,iOS,Cox,36,0
646,,medium,66.63,Android,Cox,,0
648,Male,,86.84,Android,,60,0
653,Female,,,iOS,Cox,,0
658,Male,medium,79.85,Android,Cox,43,0
669,,,82.66,,,,0
672,Male,,83.18,Android,HughesNet,20,0
679,Female,medium,92.12,iOS,Cox,49,0
689,Male,,84.6,Android,,69,0
702,,medium,,iOS,Xfinity,58,0
722,Female,medium,91.64,iOS,Cox,50,0
731,Female,medium,101.34,iOS,Cox,73,0
740,Female,,105.25,iOS,Cox,60,1
741,Female,medium,101.16,iOS,,71,0
742,Female,medium,94.71,iOS,Cox,50,0
753,Female,medium,90.18,iOS,Cox,50,0
782,Male,medium,78.06,,,50,0
783,,medium,,iOS,Xfinity,,0
786,,medium,95.49,,,66,0
787,,medium,83.6,Android,Xfinity,56,0
811,Female,,114.48,iOS,Cox,,0
815,,,,,Cox,68,0
857,Male,medium,83.53,Android,Cox,,0
859,Female,medium,,iOS,Xfinity,50,0
860,Female,,98.42,,Xfinity,68,0
886,Female,medium,91.65,iOS,Cox,34,0
887,Male,medium,82.58,,,69,0
888,Male,medium,,Android,Cox,66,0
912,Male,medium,87.71,iOS,Xfinity,,0
920,,medium,93.9,,Cox,58,0
950,Female,medium,,iOS,,71,0
959,Female,medium,90.07,iOS,Cox,67,0
981,,medium,85.11,,,52,0
982,,medium,90.89,iOS,Cox,,0
988,Female,medium,91.29,iOS,Cox,55,0
996,Male,medium,72.17,Android,Xfinity,52,0
1011,,,,iOS,Cox,64,0
1012,Male,,80.86,Android,Cox,,0
1019,Female,,97.9,iOS,,69,0
1033,Male,medium,,iOS,HughesNet,61,0
1034,Female,medium,94.29,iOS,Cox,67,0
1035,Female,medium,92.23,iOS,Xfinity,58,0
1036,Female,medium,117,iOS,Xfinity,62,0
1040,Female,medium,98.4,iOS,Xfinity,63,0
1044,Male,medium,79.84,Android,Cox,58,0
1045,Female,medium,96.22,iOS,Xfinity,65,0
1052,Female,medium,,iOS,,,0
1057,Female,,89.87,iOS,AT&T,,0
1068,Female,medium,94.33,,Xfinity,69,0
1080,Female,medium,88.05,iOS,,62,1
1085,Male,medium,87.91,iOS,Cox,60,0
1094,Female,medium,97.64,iOS,Xfinity,72,0
1117,Female,medium,,iOS,Xfinity,55,0
1119,Female,medium,102.54,iOS,,65,0
1123,,medium,95.64,iOS,Cox,73,0
1125,Female,medium,96.8,,Cox,54,0
1130,Female,medium,94.13,iOS,AT&T,52,0
1133,Female,medium,92.04,iOS,Xfinity,29,0
1142,Female,medium,102.39,iOS,,51,0
1156,,medium,81.47,Android,Cox,41,0
1159,,medium,107.46,iOS,Cox,,0
1160,Female,medium,104.44,iOS,AT&T,59,0
1161,Female,medium,93.77,iOS,Xfinity,55,0
1166,Male,medium,,,HughesNet,21,0
1185,Male,medium,77.83,Android,Cox,,0
1187,Male,medium,78.42,Android,Xfinity,72,0
1196,Male,medium,81.36,Android,Xfinity,58,0
1201,Female,medium,106.43,,Xfinity,60,0
1223,Male,medium,85.44,,Cox,,0
1234,Female,medium,101.28,iOS,Cox,71,0
1239,Male,medium,74.06,Android,Cox,,0
1246,Female,medium,,iOS,,51,0
1249,Female,medium,92.72,iOS,Cox,47,0
1250,Female,medium,89.02,iOS,Xfinity,60,0
1286,Female,medium,105.3,,,53,0
1289,,medium,96.89,iOS,Xfinity,69,0
1310,Male,,84.82,,Cox,58,0
1313,Female,medium,101.38,iOS,Cox,57,1
1327,Female,,106.53,iOS,,,0
1331,Female,medium,,iOS,,54,0
1347,,medium,,iOS,Cox,,0
1357,Male,,82.36,,Xfinity,60,0
1375,,medium,93.39,,Cox,72,0
1378,Female,medium,96.03,iOS,Xfinity,,0
1391,Female,medium,96.3,iOS,HughesNet,44,0
1406,Female,medium,101.18,iOS,,72,0
1434,Female,low,,iOS,Cox,61,0
1435,Female,medium,104.51,iOS,Xfinity,,1
1436,Female,medium,,,,60,0
1439,Female,medium,87.81,iOS,Xfinity,72,0
1447,Female,medium,91.43,iOS,Xfinity,,0
1457,Male,medium,75.92,Android,,63,0
1470,Female,medium,90.23,iOS,HughesNet,66,0
1485,,medium,85.74,Android,Cox,61,0
1489,,medium,88.34,iOS,Xfinity,,0
1495,Female,medium,93.92,iOS,,64,0
1521,Female,medium,98.78,iOS,Xfinity,61,0
1536,Female,medium,89.91,iOS,Xfinity,55,0
1540,,,84.36,Android,Xfinity,39,0
1553,,medium,87.17,iOS,Xfinity,66,0
1557,Male,medium,,Android,Xfinity,,0
1561,,medium,,Android,,74,0
1572,Male,,85.59,Android,Xfinity,67,0
1579,,,80.4,Android,Cox,,0
1585,Male,medium,,Android,AT&T,,0
1596,Female,medium,,iOS,Cox,68,0
1612,Male,,85.27,Android,HughesNet,61,0
1634,,medium,,Android,HughesNet,50,0
1642,Female,medium,94.46,iOS,Cox,61,0
1659,Male,medium,86.35,iOS,Cox,70,0
1680,Female,medium,106.82,,,48,1
1689,,medium,89.72,iOS,,,0
1699,,,98.35,iOS,HughesNet,48,0
1725,Female,medium,91.33,iOS,,37,0
1732,,medium,,iOS,Cox,58,0
1738,Female,medium,96.91,iOS,Cox,69,0
1747,Female,medium,89.88,iOS,Xfinity,59,0
1767,Female,,100.23,iOS,Cox,63,0
1768,Male,medium,82.05,Android,,57,0
1772,,,91.49,iOS,,57,0
1816,Female,medium,90.67,iOS,Cox,61,0
1827,Male,medium,84.27,Android,Xfinity,49,0
1863,,medium,87.37,iOS,Xfinity,70,0
1874,,medium,100.06,iOS,AT&T,61,0
1882,Male,,86.53,iOS,AT&T,41,0
1914,Female,medium,101.86,,,,0
1957,Female,medium,100.46,,,65,0
1959,Female,medium,88.97,iOS,HughesNet,63,0
1972,Female,medium,99.77,iOS,Xfinity,,0
1973,,,94.47,iOS,HughesNet,63,0
2015,Male,medium,72.76,,,66,0
2022,,,,,Xfinity,68,0
2029,,,92.77,iOS,HughesNet,72,0
2032,Male,medium,81.79,,Cox,54,0
2054,Female,medium,104.16,iOS,Cox,70,0
2063,,medium,94.78,,AT&T,47,0
2080,Female,medium,95.54,iOS,,37,0
