threshold,precision,recall,f1,accuracy
0.0,0.44,1.0,0.61,0.44
0.05,0.75,1.0,0.85,0.85
0.1,0.75,0.99,0.86,0.85
0.15,0.75,0.99,0.86,0.86
0.2,0.76,0.99,0.86,0.86
0.25,0.76,0.99,0.86,0.86
0.3,0.76,0.99,0.86,0.86
0.35,0.76,0.98,0.86,0.86
0.4,0.77,0.97,0.86,0.86
0.45,0.78,0.94,0.85,0.86
0.5,0.79,0.93,0.85,0.86
0.55,0.81,0.9,0.85,0.86
0.6,0.82,0.88,0.85,0.86
0.65,0.84,0.82,0.83,0.86
0.7,0.89,0.74,0.8,0.84
0.75,0.92,0.63,0.75,0.82
0.8,0.95,0.53,0.68,0.78
0.85,0.99,0.44,0.61,0.75
0.9,0.99,0.37,0.54,0.73
0.95,0.99,0.29,0.45,0.69
1.0,0.0,0.0,0.0,0.56
