threshold,precision,recall,f1,accuracy
0.0,0.44,1.0,0.61,0.44
0.05,0.72,1.0,0.84,0.83
0.1,0.73,1.0,0.84,0.84
0.15,0.74,1.0,0.85,0.84
0.2,0.74,1.0,0.85,0.85
0.25,0.75,1.0,0.85,0.85
0.3,0.75,1.0,0.86,0.86
0.35,0.76,1.0,0.86,0.86
0.4,0.76,1.0,0.86,0.86
0.45,0.77,0.99,0.87,0.87
0.5,0.77,0.98,0.86,0.87
0.55,0.79,0.97,0.87,0.87
0.6,0.8,0.93,0.86,0.87
0.65,0.81,0.85,0.83,0.85
0.7,0.82,0.76,0.79,0.83
0.75,0.83,0.6,0.7,0.77
0.8,0.87,0.41,0.56,0.72
0.85,0.92,0.27,0.41,0.67
0.9,0.95,0.15,0.25,0.63
0.95,0.97,0.07,0.13,0.59
1.0,1.0,0.01,0.02,0.57
