threshold,precision,recall,f1,accuracy
0.0,0.44,1.0,0.61,0.44
0.05,0.56,1.0,0.72,0.66
0.1,0.61,1.0,0.76,0.72
0.15,0.64,1.0,0.78,0.76
0.2,0.67,1.0,0.8,0.79
0.25,0.7,1.0,0.82,0.81
0.3,0.72,1.0,0.84,0.83
0.35,0.74,0.99,0.84,0.84
0.4,0.75,0.97,0.85,0.85
0.45,0.75,0.95,0.84,0.84
0.5,0.77,0.9,0.83,0.84
0.55,0.77,0.82,0.79,0.82
0.6,0.76,0.73,0.74,0.78
0.65,0.76,0.61,0.68,0.75
0.7,0.76,0.51,0.61,0.72
0.75,0.75,0.38,0.51,0.68
0.8,0.73,0.24,0.36,0.63
0.85,0.7,0.11,0.19,0.59
0.9,0.7,0.02,0.03,0.57
0.95,0.0,0.0,0.0,0.56
1.0,0.0,0.0,0.0,0.56
