threshold,precision,recall,f1,accuracy
0.0,0.44,1.0,0.61,0.44
0.05,0.75,1.0,0.86,0.86
0.1,0.76,1.0,0.86,0.86
0.15,0.76,1.0,0.86,0.86
0.2,0.76,0.99,0.86,0.86
0.25,0.77,0.99,0.86,0.86
0.3,0.77,0.98,0.86,0.87
0.35,0.77,0.97,0.86,0.87
0.4,0.78,0.97,0.86,0.87
0.45,0.79,0.96,0.87,0.87
0.5,0.8,0.93,0.86,0.87
0.55,0.82,0.91,0.86,0.87
0.6,0.83,0.89,0.86,0.87
0.65,0.86,0.85,0.86,0.88
0.7,0.88,0.81,0.85,0.87
0.75,0.91,0.74,0.81,0.85
0.8,0.93,0.64,0.76,0.82
0.85,0.96,0.51,0.67,0.78
0.9,0.98,0.35,0.52,0.71
0.95,0.99,0.18,0.31,0.64
1.0,0.0,0.0,0.0,0.56
