threshold,precision,recall,f1,accuracy
0.0,0.43,1.0,0.6,0.43
0.05,0.43,1.0,0.6,0.43
0.1,0.43,1.0,0.6,0.43
0.15,0.43,1.0,0.6,0.43
0.2,0.43,1.0,0.6,0.43
0.25,0.47,0.97,0.63,0.51
0.3,0.59,0.89,0.71,0.68
0.35,0.66,0.85,0.74,0.74
0.4,0.68,0.69,0.68,0.72
0.45,0.8,0.57,0.67,0.75
0.5,0.8,0.54,0.64,0.74
0.55,0.89,0.5,0.64,0.76
0.6,0.91,0.46,0.61,0.75
0.65,0.91,0.46,0.61,0.75
0.7,0.9,0.4,0.56,0.72
0.75,0.91,0.27,0.42,0.67
0.8,0.0,0.0,0.0,0.57
0.85,0.0,0.0,0.0,0.57
0.9,0.0,0.0,0.0,0.57
0.95,0.0,0.0,0.0,0.57
1.0,0.0,0.0,0.0,0.57
